,id,title
0,592479,Kale and Quinoa Salad with Black Beans
1,547775,Creamy Avocado Pasta
2,818941,"Avocado Toast with Eggs, Spinach, and Tomatoes"
3,495111,Citrus Sesame Kale
4,689502,Melt In Your Mouth Kale Salad
5,837136,Kale Pineapple Smoothie
6,582897,Mexican Salad with Lime Dressing
7,777037,Weekly Meal Plan #17
8,801710,Matcha Green Tea and Pineapple Smoothie
9,695486,Green Smoothie
10,812966,Low Carb Frosty
11,584495,Chopped Kale Salad with Pomegranate & Avocado
12,547899,Sweet Potato and Black Bean Mexican Salad
13,696698,Tuscan-Style Tuna Salad
14,613079,Smashed White Bean and Avocado Sandwich
15,512226,Creamy Broccoli Spinach Soup | A Bowl of Green
16,995889,Low Calorie Peanut Butter Banana Spinach Smoothie
17,483531,Black Bean and Barley Salad
18,695642,Bean Burgers with Spicy Guacamole
19,473243,Green Lemonade
20,677670,Cleansing Detox Soup
21,733459,Hummus Veggie Wrap Plus 10 Heavenly Hummus to Make at Home
22,524349,lemon garlic broccoli
23,496929,Mango Spinach Green Smoothie
24,810865,Simple Massaged Kale Salad with Lemon Dressing
25,588323,Cinnamon toast crunch roasted chickpeas
26,611943,Spinach Pesto Quinoa Bowl
27,529546,Mint Chocolate Green Protein Smoothie (gluten free & can be vegan!)
28,573591,Maple Glazed Salmon
29,480310,Raspberry Banana Avocado Smoothie
30,578449,Creamy avocado and rocket pasta
31,702811,Garlic Parmesan Roasted Broccoli
32,669313,Maureen’s Avocado Tabbouleh
33,495508,How to Build a Perfect Smoothie (+ a Chocolate Mint Green Smoothie !)
34,248178,Chipotle Lime Grilled Shrimp Salad in Cilantro Lime Dressing
35,775925,Baked Mustard-Crusted Salmon With Asparagus and Tarragon
36,505288,Veggie Wraps with Quinoa
37,621163,"Pesto Pasta with Lemon, Spinach, Edamame & Toasted Almonds"
38,550388,Kale Salad with Cranberry Vinaigrette and Walnuts
39,538019,Creamy Ginger Green Smoothie
40,990084,Garlic Parmesan Broccoli
41,595916,Spinach Strawberry Salad with Strawberry Vinaigrette
42,860943,Garlic Parmesan Broccoli and Potatoes in Foil
43,577771,Sexy Cabbage (+ Cilantro-Lime Carrot and Cabbage Spring Rolls)
44,496200,Brussel Sprouts Salad with Orange Ginger Dressing
45,591705,Tuna & White Bean Salad
46,244141,Squash Fries
47,695118,Tuna & White Bean Salad
48,496931,Avocado Kale Superfood Smoothie
49,500244,Hide Your Kale Smoothie
50,619608,Kale and Mixed Berry Smoothie
51,509646,Simple Herb Crusted Salmon
52,872984,"Warm Quinoa, Sweet Potato and Kale Salad"
53,535969,Kale Salad with Meyer Lemon Vinaigrette
54,584792,Strawberry & Kale Salad with Feta Cheese
55,779803,Falafel Salad with Lemon-Tahini Dressing
56,588576,Creamy 3 herb dressing
57,584854,Chopped Kale Salad with Grapes & Feta Cheese
58,616564,Chinese Chop Salad + Peanut Sesame Dressing
59,483676,Salted Chocolate Oatmeal Smoothie
60,286168,Sauteed Kale
61,500830,Rainbow Chard Hummus Wraps
62,773578,Pesto Salmon and Italian Veggies in Foil
63,773183,Salmon and Summer Veggies in Foil
64,966111,Sauteed Kale
65,588548,Cold buster smoothie
66,473967,Asian Sesame Spinach Salad (Power Foods)
67,548436,Grilled Guacamole
68,238176,Greek Potatoes (Oven-Roasted and Delicious!)
69,592292,Marinated White Beans
70,482512,Chocolate Espresso Protein Smoothie
71,539858,"Raw Kale Salad with Apples, Carrots & Purple Cabbage"
72,622596,Whole30 grilled salmon with avocado salsa
73,1009573,Quinoa Kale Tomato Corn Salad
74,515839,Green Juice in a Blender
75,756829,Spinach and Mushroom Egg White Frittata
76,677365,Lentil Spinach Salad with Avocado
77,264116,Butternut Squash Soup
78,584594,Vegetable Stir-Fry with Endive & Shiitake Mushrooms
79,482628,Banana Berry Kale Smoothie
80,612082,Creamy Butternut Squash Pasta Skillet
81,749594,Hummus and Grilled Vegetable Wrap
82,974620,Kale Pineapple Smoothie
83,563797,Roasted Red Pepper Butternut Squash Noodles with Chicken
84,842383,Roasted Cauliflower Salad with Lemon Tahini Dressing
85,551703,Quinoa Lentil Salad - Roasted Brussels Sprouts
86,496225,Super Simple Roasted Broccoli
87,500803,Three Color Pasta with Sun Dried Tomato Sauce
88,588272,Spicy thai carrot and kale salad
89,559162,Roasted Potatoes With Garlic Sauce
90,536055,Garlic Mushroom Quinoa
91,578138,Quick black bean dip
92,556911,Chocolate Peanut Butter Protein Shake
93,488633,"gobi pakora , how to make gobi pakoras or cauliflower fritters"
94,814122,Massaged Kale Salad with Avocado and Pickled Red Onions
95,780510,Zucchini Noodles with Creamy Avocado Pesto
96,483358,Garlicky Lemon Grilled Fish Packets
97,586489,Roasted Eggplant and Lentil Soup
98,248799,Sweet Chili Chicken Salad
99,584481,Open Faced Veggie Quesadilla with Avocado Salsa Cream
100,474396,Mixed Bag” Kale Salad
101,185071,Cannellini Tuna Salad
102,496373,Quinoa Salad with Avocado and Tomatoes
103,617461,Scrambled Tofu
104,482759,Strawberry Chocolate Protein Smoothie
105,491421,Strawberry Banana Oatmeal Smoothie
106,592348,Mexican Lentil Stew
107,754184,Power Smoothie
108,722394,Mexican Fava Bean Soup (Sopa de Habas)
109,759230,Quinoa-Stuffed Peppers
110,580762,"Kale, Black Bean and Avocado Burrito Bowl"
111,474319,Easy Stir-Fry Broccoli and Red Bell Pepper
112,740848,Egg White Omelette
113,587979,EASY Oven Roasted Veggies
114,814263,How to Make Pickled Peppers
115,474307,Garlic Roasted Kale
116,512247,Avocado and Romaine Salad with Walnuts
117,474468,"Hearty Chicken Chorizo, Kale, Bean and Farro Soup"
118,994167,Broccoli Stem Noodles with Sesame Ginger Dressing
119,249081,Apple and Pomegranate Quinoa and Kale Salad with Feta in a Curried Maple Dijon Dressing
120,588196,Green bean fries
121,962537,Roasted Broccoli with Garlic
122,551874,Oven Roasted Vegetables
123,584224,"Spinach, Basil and Avocado Quinoa Bowl"
124,620174,Fall Harvest Vegetarian Chili with Kale + Giveaway
125,719062,Healthy Strawberry Shortcake Smoothie
126,698963,Island Red Beans (Habichuelas Coloradas Grandes)
127,955591,Baby Kale Breakfast Salad with Quinoa & Strawberries
128,537971,Mint Chocolate Chip Green Smoothie
129,584952,Spicy Guacamole Hummus
130,537873,The Body Book™ Green Smoothie
131,826953,Harvest Kale Salad with Roasted Winter Squash
132,588251,Lemon roasted asparagus
133,848980,Kale Chips Using Sriracha Sauce
134,505014,Green Apple Smoothie for St. Paddy’s Day
135,566217,Shaved Brussels Sprouts Salad with Avocado and Pistachios
136,523704,"Avocado, Tomato, Kale & Onion Salad"
137,201859,Tropical Green Juice
138,548284,Southwestern Pasta Salad with Creamy Avocado Dressing
139,702731,Best Ever Mushroom Soup
140,490754,Spicy Guacamole
141,757207,Roasted Yukon Potato Spring Vegetable Bowls
142,556590,"Endive Salad with Stilton, Pear and Walnuts"
143,525527,Lemony Lentil Quinoa Salad
144,578108,Walnut and roasted garlic chickpea pâté
145,702362,Spinach Strawberry Salad
146,733101,Asian Noodle Salad
147,497144,Lemon-Garlic Broccoli
148,723984,Cabbage Salad with Peanuts
149,559515,Parmesan Garlic Roasted Potatoes
150,529404,Sweet and Tangy Tuna Stuffed Peppers
151,572318,Soba Noodles with Lemony Kale Pesto
152,685856,Roasted Butternut Squash and Pear Salad with Lentils
153,723932,Spicy Sautéed Kale + 5 Healthy Kale
154,729018,Quinoa Vegetable Salad with Tahini Dressing
155,775490,"Mashed Cauliflower (Vegan, Paleo)"
156,680372,Baked Spinach and Ricotta Rotolo
157,474463,Quinoa Kale Tomato Corn Salad {Video + Giveaway}
158,627519,Pineapple Detox Blast
159,521871,Pineapple And Banana Smoothie
160,560598,Sweet Potato Quinoa Black Bean Burgers
161,682142,Lentil Soup
162,491217,Greek Salad Wrap
163,613283,creamy parmesan garlic gnocchi
164,594589,Lightened Up Kale Caesar Salad
165,573147,Kale Fried Rice
166,667231,Baked Salmon with Garlic and Dijon
167,540519,Pumpkin Streusel Muffins
168,505145,Zucchini Pasta with Garlic Scape Pesto
169,506672,Carrot Cake Smoothie
170,497850,Kale Salad
171,248346,Tropical Kale Smoothie
172,555478,Strawberry Avocado Smoothie
173,599806,Smoked Paprika and Chickpea Soup
174,196453,Vegan: Smoky Charred Cauliflower and Potato Soup with Kale
175,494996,Spicy Chickpea & Spinach Stew
176,756459,Savory Kale-Tomato Juice
177,472914,Kale with Cranberries
178,577852,Red Lentils and Spinach in Masala Sauce
179,195954,Cashew Apple Green Smoothie
180,906770,One Pan Roasted Lemon Pepper Salmon and Garlic Parmesan Asparagus
181,532448,Microwave Egg and Vegetable Breakfast Sandwich
182,611285,Banana Oat Chocolate Peanut Butter Smoothie + 10 Wellness Life Hacks for Moms
183,971566,Simply Delicious
184,995649,Sauteed Kale
185,523313,Healthy Single Serving Microwaveable Buckwheat Banana Cake
186,574789,Real Men Cook: Sautéed Garlic Spinach
187,697257,Tomato & Fennel Salad
188,809898,Strawberry & Mango Chopped Spinach Quinoa Salad with Sesame-Lime Vinaigrette
189,536422,"Avocado, Kale and Spinach Salad"
190,479691,"Bottoms Up: Green Giant Smoothie with Banana, Spinach, and Almond Butter"
191,820749,Brown Sugar Garlic Pork with Carrots & Potatoes
192,570644,Strawberry Quinoa Salad With Brie
193,547706,"Quinoa Salad with Asparagus, Peas, Avocados & Lemon Basil Dressing"
194,758702,Curried Potatoes with Cauliflower and Peas
195,509951,Healthiness {: Healthy 2 Bean Kale Soup}
196,474651,Crockpot Cuban Black Bean Soup (Frijoles Negros) – Power Foods
197,509163,Garlic Pork and Rice
198,480013,Meatless Monday: Vegetarian Kale Caesar Salad
199,506377,Warm White Bean and Kale Salad with Dried Cranberries and Cashews
200,553553,Broccoli quinoa casserole
201,505275,Zucchini Noodles with Lime-Arugula Pesto
202,577803,Sesame Crusted Avocado and Cabbage Spring Rolls
203,549886,Simple Coconut Chicken Curry
204,482741,Pumpkin Banana Oatmeal
205,951559,Curried Chickpeas with Spinach
206,246392,Quick Beef Stew with Mushrooms and White Beans
207,877657,"Colorful Beet Salad with Carrot, Quinoa & Spinach"
208,746105,Braised Kale and Tomatoes
209,416678,Terrific Trail Mix
210,249765,Healthy Black Bean Salad with Creamy Avocado Dressing
211,195529,The Greenie
212,811088,Pistachio Crusted Salmon with Pesto
213,579014,Kale Pesto
214,227961,Cajun Spiced Black Bean and Sweet Potato Burgers
215,584449,Lemon Quinoa Salad with Pistachios & Sun-Dried Tomatoes
216,773589,Ratatouille
217,521545,Warm Lentil Salad Speckled with Kale and Pomegranate Seeds
218,496991,Carrot Mango and Kiwi Smoothie
219,516337,On-the-Go Green Smoothie
220,701765,Salsa roja (roasted red salsa)
221,695463,Garlic Roasted Salmon & Brussels Sprouts
222,775954,Roast Salmon and Broccoli with Chile-Caper Vinaigrette
223,511513,Fall Harvest Brussels Sprouts
224,496401,Healthy Southwestern Salad
225,710652,Sautéed Chard with Parsnip
226,730496,"Mushroom, Lemon and Lentil Salad"
227,758270,Broccoli Stir-Fry with Ginger-Avocado Sauce
228,620343,"Kale Salad with Butternut Squash, Blue Cheese & Honey-Cider Vinaigrette"
229,615661,Roasted Vegetables
230,884531,Pesto Salmon and Italian Veggies in Foil
231,547977,"Quinoa Salad with Roasted Sweet Potatoes, Kale, Dried Cranberries, & Red Onion"
232,667972,kale and quinoa salad with ricotta salata
233,485422,Poached Salmon
234,508476,Baked Quinoa Casserole with Chicken and Broccoli
235,717153,Vegetarian Slow Cooker Lentils
236,548281,Raspberry Coconut Smoothie
237,548502,Smashed Chickpea & Avocado Salad Sandwich
238,758376,Stuffed Grape Leaves Casserole
239,964239,Winter Detox Moroccan Sweet Potato Lentil Soup (Slow Cooker)
240,537977,Avocado Artichoke Arugula & Spinach Salad
241,814350,Roasted Sweet Potato and Cauliflower Rice Collard Wraps
242,483755,Blueberry Kale Power Smoothie
243,855493,Peanut Butter and Jelly Protein Smoothie
244,556595,"Roasted Butternut Squash with Garlic, Sage and Pine Nuts"
245,519858,Ham and Bean Soup
246,549376,How to Fight a Cold- Cold Buster Green Smoothie
247,695172,Inside-Out Lasagna
248,507912,Basic Green Smoothie
249,547774,Goat Cheese Lemon Pasta with Kale
250,758159,Stuffed Eggplant with Lentils and Millet
251,584126,"Hearty Lentil, Kale & Potato Soup"
252,530096,Chocolate Protein ‘Frosty’
253,725831,Vegetable Kebabs
254,251617,Brine-pickled Beets with Ginger and Orange
255,559371,Healthy Grains: Quinoa Tabouli
256,723422,Basil and Mint Squash Noodles
257,718365,Southwestern Collard Wrap with Chicken and Avocado
258,196136,Lentil and Carrot Salad with Kale
259,529531,The “Zen” Quinoa Bowl (gluten free & can be made vegan!)
260,758629,Cuban Black Bean and Potato Soup
261,754937,Vegan Cream of Broccoli Soup
262,618266,No Noodle Pad Thai
263,548563,"Spinach, Ham and Egg Whites Frittata – 2 Points"
264,694940,Tofu with Peanut-Ginger Sauce
265,617457,Banana Bread in a Bowl
