,ids,titles,aggregateLikes,spoonacularScore,healthScore,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,veryHealthy,vegetarian,vegan,glutenFree,dairyFree,whole30,calories,fat,saturated_fat,carbs,sugar,cholesterol,sodium,protein
0,592479,Kale and Quinoa Salad with Black Beans,50078,100.0,100.0,101.23,50,6,6,True,True,True,True,True,False,242.6,7.38,1.03,37.19,1.8,0.0,250.66,9.79
1,547775,Creamy Avocado Pasta,67131,100.0,100.0,171.39,15,2,13,True,True,True,False,True,False,484.43,16.17,2.38,78.08,3.95,0.0,599.51,15.36
2,818941,"Avocado Toast with Eggs, Spinach, and Tomatoes",142071,100.0,95.0,160.46,10,1,7,True,True,False,False,True,False,277.24,15.9,2.36,22.41,2.9,0.0,446.21,0.45
3,495111,Citrus Sesame Kale,7119,100.0,100.0,51.22,15,4,1,True,True,True,True,True,False,72.07,3.56,0.47,8.58,0.41,0.0,158.35,4.14
4,689502,Melt In Your Mouth Kale Salad,231494,100.0,96.0,279.17,10,2,11,True,False,False,True,False,False,441.93,33.36,4.33,32.12,20.69,6.8,381.72,12.02
5,837136,Kale Pineapple Smoothie,184372,100.0,92.0,188.97,4,1,8,True,False,False,True,False,False,461.89,20.29,3.69,58.99,29.3,2.96,464.72,22.26
6,582897,Mexican Salad with Lime Dressing,16628,100.0,100.0,171.01,15,4,3,True,True,True,True,True,False,149.33,8.24,1.2,18.56,5.77,0.0,350.45,4.79
7,777037,Weekly Meal Plan #17,179942,100.0,75.0,45.18,15,6,2,True,False,False,True,False,False,118.85,8.5,1.7,8.13,1.98,2.83,111.01,4.78
8,801710,Matcha Green Tea and Pineapple Smoothie,11496,100.0,100.0,156.22,10,1,1,True,True,True,True,True,False,283.74,3.6,0.46,59.91,34.04,0.0,87.64,9.68
9,695486,Green Smoothie,8213,100.0,96.0,90.48,10,2,1,True,True,True,True,True,True,231.76,2.77,0.36,52.84,29.15,0.0,36.55,5.46
10,812966,Low Carb Frosty,8835,100.0,100.0,142.83,5,1,2,True,False,False,True,False,False,139.1,4.8,1.35,11.46,1.16,35.63,370.19,42.92
11,584495,Chopped Kale Salad with Pomegranate & Avocado,6336,100.0,100.0,114.15,15,4,5,True,False,False,True,False,False,197.62,13.46,2.64,16.64,5.2,4.25,207.56,6.87
12,547899,Sweet Potato and Black Bean Mexican Salad,10748,100.0,100.0,204.09,50,4,13,True,True,True,True,True,False,463.14,12.43,1.9,77.95,13.05,0.0,314.52,16.25
13,696698,Tuscan-Style Tuna Salad,7001,100.0,100.0,151.42,10,4,3,True,False,False,True,True,True,196.77,8.01,1.2,7.59,4.66,25.51,197.66,23.08
14,613079,Smashed White Bean and Avocado Sandwich,12071,100.0,100.0,239.43,10,4,18,True,True,True,False,True,False,638.85,24.68,3.75,84.32,8.08,0.0,448.06,26.46
15,512226,Creamy Broccoli Spinach Soup | A Bowl of Green,6989,100.0,100.0,167.6,15,2,3,True,True,False,True,False,False,195.57,10.91,2.82,15.83,6.14,12.62,376.47,11.45
16,995889,Low Calorie Peanut Butter Banana Spinach Smoothie,4600,100.0,100.0,121.86,5,1,4,True,True,True,True,True,False,279.14,6.76,0.66,45.29,23.73,0.01,237.06,14.28
17,483531,Black Bean and Barley Salad,6162,100.0,94.0,87.65,50,4,10,True,True,True,False,True,False,377.63,8.72,1.35,61.94,1.75,0.0,209.39,15.76
18,695642,Bean Burgers with Spicy Guacamole,6213,100.0,100.0,170.7,50,6,11,True,True,True,False,True,False,422.4,15.1,2.3,59.49,8.07,0.0,474.42,14.33
19,473243,Green Lemonade,3431,100.0,100.0,129.87,45,2,0,True,True,True,True,True,True,112.83,1.16,0.13,26.53,12.87,0.0,29.69,4.5
20,677670,Cleansing Detox Soup,174563,100.0,100.0,57.64,45,6,0,True,True,True,True,True,True,74.94,0.8,0.1,15.44,4.87,0.0,277.47,4.76
