,cookingMinutes,num_ingredients,preparationMinutes,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,Calories,Fat,Saturated_Fat,Carbohydrates,Sugar,Cholesterol,Sodium,Protein,Vitamin_K,Vitamin_A,Vitamin_C,Manganese,Folate,Fiber,Copper,Magnesium,Phosphorus,Vitamin_B6,Potassium,Vitamin_B1,Iron,Vitamin_B2,Vitamin_E,Zinc,Vitamin_B5,Vitamin_B3,Calcium,Selenium,num_words_instructions,num_steps_instructions,whole30,vegan,vegetarian,paleo,primal,aggregateLikes,ingredients_list,ingredient_types,title,spoonacularSourceUrl
0,-0.029408851206630796,1.4850888717659367,0.885421081828691,-0.8210515928258437,0.2683215200295596,0.8244475555065419,-0.30484372470356436,-0.5390931233295925,-0.560447834276882,-0.5085309057246957,-0.127736081101842,-0.9519113593545866,-0.40646578161559715,-0.4084163352074814,-0.5332267126326188,-0.3318302815871975,-0.3288773213655954,-0.5062096150673934,-0.32072359354819296,-0.015286658875832212,-0.05005608190332129,-0.18281277965943438,0.05156822570239934,-0.2645172247336395,-0.6448633018596424,-0.7247779662638791,-0.3002794333717748,-0.21411006996106938,-0.5205421412031369,-0.4362590624483025,-0.2027437499566603,-0.3942346223522189,-0.5171320866424338,-0.7793870589972774,-0.5836114420217521,0.9499667406412848,0.8052822199935801,False,True,True,0,0,50078,"['ancho chile powder', 'avocado', 'black beans', 'carrot', 'chile powder', 'cumin', 'garlic', 'ground flaxseed', 'kale', 'lemon juice', 'lime juice', 'quinoa', 'red bell pepper', 'salt', 'vegetable broth']","Counter({'Produce': 7, 'Spices and Seasonings': 3, 'Ethnic Foods;Spices and Seasonings': 1, 'Pasta and Rice;Canned and Jarred': 1, 'Health Foods;Baking': 1, 'Pasta and Rice;Health Foods': 1, 'Canned and Jarred': 1})",Kale and Quinoa Salad with Black Beans,https://spoonacular.com/kale-and-quinoa-salad-with-black-beans-592479
1,-0.05725071042920042,-0.7569777396942434,-0.5463066992009477,-0.35150053080977717,-0.3836677330275484,-0.7756447404789834,0.9623214017364299,0.8220221844336061,0.14276701463272318,-0.08851198683969841,1.7118340822662597,-0.6994177811434557,-0.40646578161559715,0.4141338904322045,-0.09474832977158265,-0.7096903496898987,-0.5008032216253775,0.24414677117311256,1.982877944147023,0.03089965437915773,-0.11745006939937787,-0.22008347887644444,0.8569270082781523,0.06557929218809389,-0.05007715613965112,-0.36251709191028303,0.5930902958076106,-0.0578459870390202,-0.2007452379227959,0.05929967426242495,0.5568068603985269,0.5799860259646318,0.2396787723206411,-0.8700311654557172,1.9977485360240508,0.002599187901107649,-0.014343449211081638,False,True,True,0,0,67131,"['avocado', 'bell pepper', 'fresh cilantro', 'garlic', 'kosher salt', 'lime juice', 'whole wheat pasta']","Counter({'Produce': 4, 'Produce;Spices and Seasonings': 1, 'Spices and Seasonings': 1, 'Pasta and Rice': 1})",Creamy Avocado Pasta,https://spoonacular.com/creamy-avocado-pasta-547775
3,-0.06653133017005695,-0.7569777396942434,-0.18837475394353798,-1.155747268587296,-0.3836677330275484,0.024401407513779238,-1.209961672160703,-1.498903706933191,-0.8660542873866308,-0.6827609757806946,-1.4148503480121228,-1.1151513936399227,-0.40646578161559715,-0.626073240263521,-0.9780028101487506,1.215043890626879,0.1457026950053856,0.1940896406700768,-0.81879960169851,-1.0351177778193479,-1.4685390568203218,0.6744133023317965,-1.0210018963565615,-1.1437759128930238,-0.8942897500648,-1.1688062392242053,-0.9077708492137571,-0.4388327034965877,-0.7821941529779614,-1.0335550232519608,-1.0607546246171495,-0.9518074462316743,-0.621266914135415,-0.28144782109128313,-0.6860636620590369,-0.556104753458484,-0.42415628381341247,False,True,True,0,0,7119,"['garlic', 'ginger', 'kale', 'orange juice', 'sesame oil', 'sesame seeds', 'soy sauce']","Counter({'Produce': 2, 'Produce;Ethnic Foods;Spices and Seasonings': 1, 'Beverages': 1, 'Ethnic Foods': 1, 'Ethnic Foods;Spices and Seasonings': 1, 'Ethnic Foods;Condiments': 1})",Citrus Sesame Kale,https://spoonacular.com/citrus-sesame-kale-495111
6,-0.0758119499109135,-0.1964610868291984,0.16955719131387167,-0.3540437093098642,-0.3836677330275484,0.024401407513779238,-0.8479144931778476,-1.0640537351439807,-0.49164638148254075,-0.45563963445769606,-0.9658674614771839,-0.48567903121589356,-0.40646578161559715,-0.17312240653732447,-0.9268338785760983,-0.18447670017034476,0.7854182914085763,-0.6979284248940204,-0.980674304347363,0.9227464776699571,-0.11103159439975328,-0.6673318694805649,-0.8648856955918266,-0.9870402825055555,-0.702423251445448,-0.34082330122730126,-0.5504229575420029,-0.26470986824059,-0.4914696954503786,-0.5183052109103434,-0.7864724597666654,-0.14302049291202468,-0.4877983324190588,-0.6983255323132225,-0.6834478606963829,-0.7382908212931335,-1.0388755357169088,False,True,True,0,0,16628,"['avocado', 'corn kernels', 'english cucumber', 'grape tomatoes', 'romaine lettuce', 'sea salt', 'snap peas', 'tabasco sauce', 'yellow onion']","Counter({'Produce': 7, 'Spices and Seasonings': 1, 'Condiments': 1})",Mexican Salad with Lime Dressing,https://spoonacular.com/mexican-salad-with-lime-dressing-582897
8,-0.0758119499109135,-0.7569777396942434,-0.18837475394353798,-0.45302689356325104,-0.4768090548928496,-1.1756678144753647,-1.209961672160703,-0.30754086032922856,-0.862854219814801,-0.6858722270316946,0.8943973038754939,2.8343179250765136,-0.40646578161559715,-0.7927997027975103,-0.5418860702833753,0.7893294439933026,0.027809425377426616,1.2131276748856272,1.2731196325328213,-0.37910106917902764,-0.4640477193790975,0.8110725327941666,-0.3879539411808891,-1.0634694635902993,0.7173888383377574,0.1563537808273994,-0.1573402767030732,-0.24089819846199212,0.20626900261581999,0.00022644736975540488,-0.7372423276140143,-0.4432520134625007,0.13701063253882861,0.8346742853711338,-0.5343471830251002,-1.1998288598075788,-1.0388755357169088,False,True,True,0,0,11496,"['banana', 'ice cubes', 'kale', 'lemon', 'matcha powder', 'pineapple', 'soy milk']","Counter({'Produce': 4, 'Frozen': 1, 'Tea and Coffee': 1, 'Milk, Eggs, Other Dairy': 1})",Matcha Green Tea and Pineapple Smoothie,https://spoonacular.com/matcha-green-tea-and-pineapple-smoothie-801710
9,-0.0758119499109135,-0.7569777396942434,-0.18837475394353798,-0.8929967740783054,-0.4768090548928496,-0.7756447404789834,-1.209961672160703,-0.6001049495552595,-0.92925562193027,-0.7169847395416944,0.5763302690255926,2.2600418332381738,-0.40646578161559715,-0.913264346707304,-0.874090518339672,0.792916830219804,-0.025954140325437268,0.46227071734009095,-0.47014639599328806,-0.7267424943693644,-0.4528153881297547,0.5377540718694264,-0.2977498708220124,-0.9022103536151866,-0.05007715613965112,-0.07214501896332125,-0.4432185900404766,-0.40013874010636596,-0.4914696954503786,-0.9285359532205483,-0.9130642281591965,-0.5474139695718495,-0.49219839555256506,-0.3359620526966721,-0.6211045948864605,-1.3091405005083685,-1.2437819530180743,True,True,True,1,1,8213,"['apple', 'bananas', 'ground flaxseed', 'ice cubes', 'kale', 'orange juice', 'water']","Counter({'Produce': 3, 'Beverages': 2, 'Health Foods;Baking': 1, 'Frozen': 1})",Green Smoothie,https://spoonacular.com/green-smoothie-695486
12,-0.010847611724917711,0.6443138924683691,0.16955719131387167,-0.13265332830228874,0.2683215200295596,0.024401407513779238,0.9623214017364299,0.7021936069110549,-0.1564393033333661,-0.23785204688769745,1.7059856077923579,0.369275968494355,-0.40646578161559715,-0.257841425047383,-0.024686254233643255,-0.3604278416003442,2.780565489919247,-0.6418644387306203,0.0403815123607869,1.5787631863102776,2.0054605367264045,-0.12069494763108427,0.9597628874125989,0.2970404555039202,0.06504274303196021,1.292059912001928,0.7717642416434874,0.09395340779954175,-0.14260034641727928,-0.21637538457003264,0.3247219516788863,0.7638012426281884,-0.22672791983102128,-0.29777369774393875,-0.5975623826225739,0.5127201778381262,0.6003758026924146,False,True,True,0,0,10748,"['avocado', 'black beans', 'cilantro', 'fresh corn', 'green onion', 'limes', 'olive oil', 'purple cabbage', 'romaine lettuce', 'salt and pepper', 'sweet potatoes', 'tomato']","Counter({'Produce': 8, 'Pasta and Rice;Canned and Jarred': 1, 'Produce;Spices and Seasonings': 1, 'Oil, Vinegar, Salad Dressing': 1, 'Spices and Seasonings': 1})",Sweet Potato and Black Bean Mexican Salad,https://spoonacular.com/sweet-potato-and-black-bean-mexican-salad-547899
14,,-0.1964610868291984,,0.10386227220580416,-0.4768090548928496,0.024401407513779238,1.8674393491935684,1.6911592882866975,0.8235813905395193,0.3377294345472989,1.9925608570135558,-0.21439523323091084,-0.40646578161559715,0.05703132006347746,0.779059578622942,-0.5444675236731152,-0.6734978788250433,-0.7198284194890985,1.708936139664349,1.1001827854946828,2.125806942969363,0.26443561094468604,1.7071449066338134,0.7003938431502311,-0.12682375558739178,1.6772273949125769,0.5930902958076106,0.693709840347978,0.0027618823465120545,0.7058233241433076,1.6187711396914275,0.6290034170749136,-0.062458896180121286,0.8757729052923837,0.4247799832813964,-0.42250163704640775,-1.0388755357169088,False,True,True,0,0,12071,"['arugula', 'avocados', 'canned white beans', 'cucumber', 'extra virgin olive oil', 'juice of lemon', 'multigrain bread', 'red onion', 'salt and pepper']","Counter({'Produce': 5, 'Canned and Jarred': 1, 'Oil, Vinegar, Salad Dressing': 1, 'Bakery/Bread': 1, 'Spices and Seasonings': 1})",Smashed White Bean and Avocado Sandwich,https://spoonacular.com/smashed-white-bean-and-avocado-sandwich-613079
16,,-1.597752718991811,,-0.6829837705711195,-0.5699503767581507,-1.1756678144753647,-0.6668909036864198,-0.33343148769436415,-0.6100488816402445,-0.6236472020116949,0.23666886688743716,1.6235231383989501,-0.4062363711560741,-0.440483650869513,-0.17976747761537423,-0.32211726416261394,-0.3624895712257088,-0.6467450089546662,-0.7814439010872362,-0.010077091555825025,-0.3228412693873599,-0.4188605413671646,-0.7753294102983637,-1.4074301517157215,0.7557621380616277,-0.09992246059527267,-0.5504229575420029,-0.312333207797786,0.7005005804127106,1.1619999095922555,-0.8146039638538944,-0.6638302734587688,0.5344830022655599,1.4023889004491294,-0.431023029200264,-0.9690598405503561,-1.0388755357169088,False,True,True,0,0,4600,"['banana', 'PB2', 'soymilk', 'spinach']","Counter({'Produce': 2, 'Nut butters, Jams, and Honey': 1, 'Milk, Eggs, Other Dairy': 1})",Low Calorie Peanut Butter Banana Spinach Smoothie,https://spoonacular.com/low-calorie-peanut-butter-banana-spinach-smoothie-995889
17,-0.0015669919840611694,0.3640555660358466,-0.18837475394353798,-0.9119367613289535,0.2683215200295596,0.024401407513779238,0.4192506332621466,0.22090935778219964,-0.45324557062058274,-0.4089708656926963,0.9857234821987331,-0.9577833030339153,-0.40646578161559715,-0.5057264908966024,-0.06325975649610427,-0.7387617154310738,-0.7514663058922443,-0.9417066504438043,0.21470811521339772,0.13586854814049856,1.3860776992626465,-0.3567427093388146,0.5404840038234926,0.013118678269049928,-0.8559164503409296,-0.6346968967461779,0.7717642416434874,-0.013199106204149042,-0.5205421412031369,-0.5248689027873067,0.33878770372250083,-0.6638302734587688,-0.3411295613021838,-0.8699601833833143,0.08821354128657125,-1.0297885298285725,-0.8339691184157433,False,True,True,0,0,6162,"['barley', 'black beans', 'celery stalks', 'cherry tomatoes', 'cilantro', 'garlic clove', 'juice of lemon', 'olive oil', 'radishes', 'salt and pepper', 'scallions']","Counter({'Produce': 6, 'Pasta and Rice;Ethnic Foods;Health Foods': 1, 'Pasta and Rice;Canned and Jarred': 1, 'Produce;Spices and Seasonings': 1, 'Oil, Vinegar, Salad Dressing': 1, 'Spices and Seasonings': 1})",Black Bean and Barley Salad,https://spoonacular.com/black-bean-and-barley-salad-483531
