,cookingMinutes,num_ingredients,preparationMinutes,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,Calories,Fat,Saturated_Fat,Carbohydrates,Sugar,Cholesterol,Sodium,Protein,Vitamin_K,Vitamin_A,Vitamin_C,Manganese,Folate,Fiber,Copper,Magnesium,Phosphorus,Vitamin_B6,Potassium,Vitamin_B1,Iron,Vitamin_B2,Vitamin_E,Zinc,Vitamin_B5,Vitamin_B3,Calcium,Selenium,num_words_instructions,num_steps_instructions,whole30,vegan,vegetarian,paleo,primal,aggregateLikes,ingredients_list,ingredient_types,title,spoonacularSourceUrl
9,-0.0758119499109135,-0.7569777396942434,-0.18837475394353798,-0.8929967740783054,-0.4768090548928496,-0.7756447404789834,-1.209961672160703,-0.6001049495552595,-0.92925562193027,-0.7169847395416944,0.5763302690255926,2.2600418332381738,-0.40646578161559715,-0.913264346707304,-0.874090518339672,0.792916830219804,-0.025954140325437268,0.46227071734009095,-0.47014639599328806,-0.7267424943693644,-0.4528153881297547,0.5377540718694264,-0.2977498708220124,-0.9022103536151866,-0.05007715613965112,-0.07214501896332125,-0.4432185900404766,-0.40013874010636596,-0.4914696954503786,-0.9285359532205483,-0.9130642281591965,-0.5474139695718495,-0.49219839555256506,-0.3359620526966721,-0.6211045948864605,-1.3091405005083685,-1.2437819530180743,True,True,True,1,1,8213,"['apple', 'bananas', 'ground flaxseed', 'ice cubes', 'kale', 'orange juice', 'water']","Counter({'Produce': 3, 'Beverages': 2, 'Health Foods;Baking': 1, 'Frozen': 1})",Green Smoothie,https://spoonacular.com/green-smoothie-695486
13,-0.0758119499109135,-0.7569777396942434,-0.18837475394353798,-0.4851512535643503,-0.4768090548928496,0.024401407513779238,-0.8479144931778476,-0.7970425694478878,-0.5100467700205623,-0.45563963445769606,-1.4593887305441455,-0.6160361808969891,0.1787603006277172,-0.5333845506551046,0.5129811344451496,-0.700011175531603,-0.49092249849947284,0.2635439092430389,-1.3791351108676166,-0.8540269973970052,-1.1155229318409778,-0.8412617991599451,-1.1290200560143187,-0.6418459181289575,-0.2995036043448086,-1.0676141930537235,-0.9792404275481079,-0.34060956565987105,-0.6949768157196866,-0.21309353863155106,-0.80053821181028,-0.6515759256811984,1.0375568871964411,-1.0706265020661718,2.257148837820581,-1.3091405005083685,-1.2437819530180743,True,False,False,0,0,7001,"['cherry tomatoes', 'lemon juice', 'light tuna', 'olive oil', 'bell pepper', 'salt', 'scallions']","Counter({'Produce': 4, 'Canned and Jarred;Seafood': 1, 'Oil, Vinegar, Salad Dressing': 1, 'Spices and Seasonings': 1})",Tuscan-Style Tuna Salad,https://spoonacular.com/tuscan-style-tuna-salad-696698
19,,-1.597752718991811,,-0.6293762448192851,0.17518019816425848,-0.7756447404789834,-1.3909852616521308,-1.2694902348890775,-1.0580583416964207,-0.7885435183146939,-0.6073109879618067,0.34813697124877174,-0.40646578161559715,-0.92943947798977,-0.9496630942008201,0.7790410910418275,-0.056642917365593036,0.33387417759980415,-0.8437034021060259,-0.8739322098436002,-0.70634515061492,0.43836554062406613,-0.8239132902044014,-1.0236393446237688,-0.7407965511693183,-0.6711205561255394,-0.7290969033778799,-0.40162696946752835,-0.6659043699669283,-0.9383814910359932,-0.9833929883772695,-0.5964313606821313,-0.6462006052252838,-0.293372809254962,-0.6987067019785317,-1.2241203355188655,-0.6290627011145778,True,True,True,1,1,3431,"['cucumber', 'granny smith apple', 'kale', 'lemon']",Counter({'Produce': 4}),Green Lemonade,https://spoonacular.com/green-lemonade-473243
20,,1.7653471981984592,,-1.112780937085826,0.17518019816425848,0.8244475555065419,-1.3909852616521308,-1.4827502068162477,-1.086858949842889,-0.7978772720676938,-1.1062308488508321,-0.5913740174438089,-0.40646578161559715,-0.345201281317844,-0.9291955215717592,0.10840292628382235,0.12944787862364546,0.5407352694035993,-0.9059629031248154,-0.5942484240217164,-0.7528790943621971,-0.3815898421501546,-1.0119329054407675,-0.9959697487045418,-0.6832366015835128,-0.7403881059978913,-0.8005664817122308,-0.42841509796845106,-0.5786870327086534,-0.6462972025111273,-0.9271299802028111,-0.4922694045727825,-0.5581993425551588,-0.458761037953603,-0.6058457536043118,-0.021692287810178946,0.3954693853912492,True,True,True,1,1,174563,"['broccoli', 'carrots', 'cayenne pepper', 'celery stalks', 'cinnamon', 'fresh ginger', 'garlic', 'juice of lemon', 'kale', 'purple cabbage', 'red onion', 'sea-salt', 'tomatoes', 'turmeric', 'water', 'water']","Counter({'Produce': 9, 'Spices and Seasonings': 4, 'Beverages': 2, 'Produce;Ethnic Foods;Spices and Seasonings': 1})",Cleansing Detox Soup,https://spoonacular.com/cleansing-detox-soup-677670
22,-0.0758119499109135,-0.7569777396942434,-0.18837475394353798,-1.0005464543319855,-0.4768090548928496,0.024401407513779238,-1.209961672160703,-1.3629779132662296,-0.8180532738091834,-0.6578709657726948,-1.2214008077215177,-0.5596655215754343,-0.40646578161559715,-0.9028660480257189,-0.9827260961400723,-0.40398412531267525,-0.45429232853821605,1.3683047794450383,-1.1300971067924581,-0.4339959128794028,-0.7304144318635116,-0.8785324983769551,-1.211612651854583,-1.0956625390971706,-0.5297434026880311,-0.9997746384201974,-0.8363012708794062,-0.47752666688680934,-0.5496145869558952,-0.19012061706217964,-0.9904258643990766,-0.4003617962410041,-0.5537992794216525,-0.8272999578692013,-0.6001781839852279,-0.3010442584899748,-0.6290627011145778,True,True,True,0,0,3303,"['broccoli', 'garlic', 'lemon juice', 'lemon zest', 'olive oil', 'bell pepper', 'salt']","Counter({'Produce': 5, 'Oil, Vinegar, Salad Dressing': 1, 'Spices and Seasonings': 1})",lemon garlic broccoli,https://spoonacular.com/lemon-garlic-broccoli-524349
39,-0.0758119499109135,-0.47671941326172096,-0.5463066992009477,-0.14530229505272166,-0.5699503767581507,-1.1756678144753647,0.05720345427929114,0.4599473891294398,0.7283793802775818,0.24439189701729955,0.6618079728749295,1.783240006476689,-0.40646578161559715,-0.82293354795639,-0.6583937914026453,0.24059472440376423,-0.1445909077366838,-0.4894404763488764,-0.2584640925294033,0.6478834854874832,0.6463484555559301,-0.10827138122541438,0.44849852453472805,-0.26210861871943913,0.31446919123711786,0.8356491597789077,0.16427282580150543,-0.15755735423689923,-0.08445545491176285,0.11180920927813122,-0.10428348565135831,0.25524580985901485,-0.17246047451777752,-0.46096148219809135,-0.39832551216708795,-0.9812055784059994,-1.0388755357169088,True,True,True,1,1,1937,"['avocado', 'banana', 'dates', 'fresh ginger root', 'juice of lemon', 'spinach', 'tahini', 'water']","Counter({'Produce': 4, 'Dried Fruits;Produce': 1, 'Produce;Ethnic Foods;Spices and Seasonings': 1, 'Ethnic Foods;Health Foods': 1, 'Beverages': 1})",Creamy Ginger Green Smoothie,https://spoonacular.com/creamy-ginger-green-smoothie-538019
41,-0.06653133017005695,-0.7569777396942434,-0.18837475394353798,-0.7232061463224958,-0.3836677330275484,0.8244475555065419,-0.6668909036864198,-1.1100940246758955,-0.0948380025756419,-0.3591908456766966,-1.5583629139486412,-0.8978894775047633,-0.40646578161559715,-0.6949000743940139,-1.1346584621942555,-0.14284948263641525,-0.37540798248835383,-0.7061878514270212,-0.482598296197046,-0.5765980989225873,-1.0834305568428557,-0.754296834320255,-1.0020541831932066,-1.3671300608439814,-1.1629028481318928,-1.4186271597042408,-0.9792404275481079,-0.4358562447742629,-0.8694114902362363,-0.36405845180170643,-1.0185573684863058,-0.8660270117886811,-0.6916679242715149,-0.9043155064262938,-0.7008865364474102,-0.5318132777471974,-0.21924986651224707,True,True,True,0,0,29013,"['baby spinach', 'black pepper', 'olive oil', 'pecan', 'salt', 'strawberries', 'vinegar']","Counter({'Produce': 2, 'Spices and Seasonings': 2, 'Oil, Vinegar, Salad Dressing': 2, 'Nuts;Baking': 1})",Spinach Strawberry Salad with Strawberry Vinaigrette,https://spoonacular.com/spinach-strawberry-salad-with-strawberry-vinaigrette-595916
44,-0.0758119499109135,-0.1964610868291984,-0.18837475394353798,-0.5469906465664661,-0.4768090548928496,0.024401407513779238,-0.4858673141949921,-0.6910598491684311,0.14676709909751023,-0.41519336819469627,-1.0612425836669703,-0.376460878780381,-0.40646578161559715,-0.429354406022102,-0.9402165222181765,-0.2871571700873708,-0.022583690256147367,0.011631399986511502,-0.42033879517825634,-0.7109582829371036,-0.5779756506224313,-0.6673318694805649,-1.055820343622555,-1.0053104403205866,-0.8175431506170593,-0.9119040272858836,-0.40748380087330116,-0.40311519882869074,-0.7821941529779614,-0.6462972025111273,-0.7372423276140143,-0.6270672301260574,-0.5816663459338587,-0.8319847746477894,-0.6520582443445339,-0.2646070449230449,-0.6290627011145778,True,True,True,0,0,1151,"['apple cider vinegar', 'brussel sprouts', 'carrots', 'garlic', 'ginger', 'hemp oil', 'juice of orange', 'pecans', 'salt']","Counter({'Produce': 3, 'Oil, Vinegar, Salad Dressing': 2, 'Produce;Ethnic Foods;Spices and Seasonings': 1, 'Beverages': 1, 'Nuts;Baking': 1, 'Spices and Seasonings': 1})",Brussel Sprouts Salad with Orange Ginger Dressing,https://spoonacular.com/brussel-sprouts-salad-with-orange-ginger-dressing-496200
49,-0.0758119499109135,-1.0372360661267659,-0.5463066992009477,-0.19034332480426275,-0.5699503767581507,-0.7756447404789834,-0.8479144931778476,-0.8296309895444388,-0.7772524122683531,-0.6952059807846944,-0.23300862163207803,1.2618114077523064,-0.40646578161559715,-0.9085014071751494,-0.7890713704958805,0.8350855400143374,-0.04308424139444499,-0.03229373202990243,-0.6693767992534149,-0.8363766722978759,-1.016036569346799,0.3886712750013863,-0.857274221073214,-0.661291005707013,-0.5297434026880311,-0.6049046125169794,-0.8005664817122308,-0.31084497843662356,-0.63683192421417,-0.8497716506969889,-1.067787500638957,-0.6270672301260574,-0.5317989637541213,-0.3588182800103899,-0.6769083572897476,-0.884039675560853,-0.6290627011145778,True,True,True,1,1,1498,"['banana', 'berries', 'hemp seeds', 'kale', 'pomegranate juice', 'water']","Counter({'Produce': 3, 'Beverages': 2, 'Health Foods': 1})",Hide Your Kale Smoothie,https://spoonacular.com/hide-your-kale-smoothie-500244
50,,-1.8780110454243335,,1.683510749509855,-0.5699503767581507,-1.1756678144753647,-1.3909852616521308,-0.44813822371642087,-0.6524497769669897,-0.7387634982986943,0.4688083152361633,1.9429568745544272,-0.40646578161559715,-0.10575746473848306,-0.6513088624156627,2.5536127588398694,0.6974724974858854,0.9963802998074826,0.09018911317581864,-0.7695853539712154,-0.0051267569059503275,1.6558750483797273,-0.4828544532640162,-0.7450047513225087,-0.3186902542067438,-0.4162331867844648,-0.40748380087330116,-0.2810803912133762,-0.28796257518107077,-0.5445599784181966,-0.7864724597666654,-0.6393215779036279,-0.33672949816867753,2.459311958527569,-0.6738565890333179,-0.9204768891277829,-1.0388755357169088,True,False,False,0,0,3350,"['almond milk', 'berries', 'kale']","Counter({'Produce': 2, 'Milk, Eggs, Other Dairy': 1})",Kale and Mixed Berry Smoothie,https://spoonacular.com/kale-and-mixed-berry-smoothie-619608
